sent_id,text,Source,Target,Polar_expression,Polarity
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,,"a little bit of self-respect, which includes not letting a waiter intimidate",Negative
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,,make,Negative
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,,"feel bad asking for trivialities like water, or the check.",Negative
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,the,too busy showing,Negative
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,the,your vintage tee shirt,Negative
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,the,"bored,",Negative
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,the,enjoy,Positive
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,the,pleasant experience.,Positive
1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",,,,
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,there,arrived,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,the staff acted,arrived,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,they,arrived,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,there,empty,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,the staff acted,empty,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,they,empty,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,there,very rude.,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,the staff acted,very rude.,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,they,very rude.,Negative
1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",,The decor,"quite un-appetizing,",Positive
1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,,good,Positive
1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,,rather,Positive
1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,,across the,Positive
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,,Chow fun was dry; pork shu mai,more than usually greasy,Negative
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,,Chow fun was dry; pork shu mai,with loud,Negative
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,,Chow fun was dry; pork shu mai,rude family.,Negative
1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",,this,"it, a home away from home for the literate heart.",Positive
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,very average...the Thai fusion,Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,stuff,very average...the Thai fusion,Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,"too sweet, every thing",Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,stuff,"too sweet, every thing",Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,too sweet here.,Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,stuff,too sweet here.,Negative
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,it,had never had Edamame pureed before,Negative
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,(could've,had never had Edamame pureed before,Negative
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,it,tasty (could've used,Negative
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,(could've,tasty (could've used,Negative
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,it,bit more salt).,Positive
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,(could've,bit more salt).,Positive
1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",,,,
1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,,the service,had died down,Positive
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,leaf wrapped rice,Positive
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,replied back,Positive
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,walked away.,Positive
1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",,,,
1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,They,never,Positive
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,The duck confit,always amazing,Positive
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,foie gras,always amazing,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,The spicy tuna roll,good,Positive
