sent_id,text,Source,Target,Polar_expression,Polarity
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,,not any longer.,Negative
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,-,Positive
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,there were,Positive
1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,,,
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,,,
1004293:4,"After all that, they complained to me about the small tip.",,,,
1004293:5,Avoid this place!,,,,
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,the food,"always consistently, outrageously good.",Positive
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,the best,Positive
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,The duck confit,always amazing,Positive
1014458:3,The wine list is interesting and has many good values.,,The wine list,interesting,Positive
1014458:3,The wine list is interesting and has many good values.,,,has,Positive
1014458:4,"For the price, you cannot eat this well in Manhattan.",,,well in Manhattan.,Positive
1016296:0,I was very disappointed with this restaurant.,I,I,very disappointed,Negative
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,,
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,,,
1016296:3,"Food was okay, nothing great.",,Food,"okay, nothing great.",Positive
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,,,,
1016296:5,I/we will never go back to this place again.,,,never go back,Negative
1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",,it,great!,Positive
1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,the price,be beat!!!,Negative
1028246:2,You can't go wrong here.,,,,
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,,,,
1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,,always,Positive
1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,,understated.,Positive
1032695:2,I had the duck breast special on my last visit and it was incredible.,,,special,Positive
1032695:3,Can't wait wait for my next visit.,,,,
1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.'",,,,
1041457:1,And I hate to say this but I doubt I'll ever go back.,I,,doubt I'll ever go back.,Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,,"a bit too sweet,",Negative
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,very average...the,Positive
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,I,Chicken special,enjoyed,Positive
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,it,innovative,Positive
1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,"food,",good,Positive
1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",,The decor,REALLY need to clean,Negative
1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,,,
1053543:1,What's the difference between the two?,,,,
1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",,,,
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,The spicy tuna roll,unusually good,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,the rock shrimp tempura,great,Positive
1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,,the service,great!,Positive
1055910:0,we love th pink pony.,,,,
1055910:1,THe perfect spot.,,spot.,perfect,Positive
1055910:2,Food-awesome.,,,,
1055910:3,Service- friendly and attentive.,,,friendly,Positive
1055910:3,Service- friendly and attentive.,,,attentive.,Positive
1055910:4,Ambiance- relaxed and stylish.,,,,
1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",,,,
1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.",,,,
1058221:1,"(i hang out, and live, in the neighborhood..)",,,,
1058221:2,the food is decent.,,the food,decent.,Positive
1058221:3,"however, it's the service that leaves a bad taste in my mouth.",,,,
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,,"little bit of self-respect,",Negative
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,,enjoy,Positive
1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",,,,
1058221:7,the last time i walked by it looked pretty empty. hmmm.,,,,
1062641:0,This place has got to be the best japanese restaurant in the new york area.,,japanese restaurant,be,Positive
1062641:1,I had a great experience.,,,,
1062641:2,Food is great.,,Food,great.,Positive
1062641:3,Service is top notch.,,Service,top notch.,Positive
1062641:4,I have been going back again and again.,I,,going back again,Positive
1062641:4,I have been going back again and again.,I,,again.,Positive
1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",,,,
1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,"fishy, creamy,",Positive
1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,perfect,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,fresh,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,adequately proportioned.,Positive
1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,,,,
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,,well worth,Positive
1074868:0,I went to this restaurant with a woman that I met recently.,,,,
1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,,,
1074868:2,Surprisingly nothing could be further from the truth.,,,,
1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",,this place,"well dressed,",Positive
1074868:4,The food was well prepared and the service impecable.,,the service,impecable.,Positive
1074868:4,The food was well prepared and the service impecable.,,The food,well prepared,Positive
1074868:5,I'm going back.,,,back.,Positive
1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,,,
1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,,Quite simply,Positive
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,food,better than many notorious restaurants,Positive
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,,well priced.,Positive
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the wine list,extensive,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,The Prix Fixe menu,worth,Positive
1084394:4,I will be going back and heartily recommend it!,I,,recommend,Positive
1084394:4,I will be going back and heartily recommend it!,I,,will be going back,Positive
1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,,,
1086415:1,"It is terrific, as is the value.",,,,
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,"much tasty food, all of it fresh",is,Positive
1086415:3,"I am not a vegetarian but, almost all the dishes were great.",,,,
1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,comparison.,there is no,Negative
1086415:5,Go hungry and enjoy.,,,enjoy.,Positive
1086415:5,Go hungry and enjoy.,,,hungry,Positive
1086478:0,"The food here is rather good, but only if you like to wait for it.",,The food,"rather good,",Negative
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,"the somosas,",kinda dissapointing.,Negative
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,the dhosas,kinda dissapointing.,Negative
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,dhal,kinda dissapointing.,Negative
1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",,,,
1086478:3,"The kitchen however, is almost always slow.",,,almost always slow.,Positive
1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",,,,
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,"nice for conversation,",Positive
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,pretty,Positive
1090587:0,Just went here for my girlfriends 23rd bday.,,,,
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,,house,has to offer.,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,,of a great evening.,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,reasonable,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,price,reasonable,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,price,great,Positive
1090587:3,The lava cake dessert was incredible and I recommend it.,I,it.,recommend,Positive
1090587:3,The lava cake dessert was incredible and I recommend it.,,The lava cake dessert,incredible,Positive
1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",,,,
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",,,,
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,The food,"above-average; the French Onion soup filling yet not overly impressive,",Negative
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,consider,Positive
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,"ambience,","However, go",Positive
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,companion for a trip across the world!,Positive
1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,,,
1118167:1,IT WAS HORRIBLE.,,,,
1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,,The pizza,delivered cold,Negative
