sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,,not any longer.,Negative,FALSE
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,-,Positive,FALSE
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,there were,Positive,FALSE
1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,,,,FALSE
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,,,,FALSE
1004293:4,"After all that, they complained to me about the small tip.",,,,,FALSE
1004293:5,Avoid this place!,,,,,FALSE
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,the food,"always consistently, outrageously good.",Positive,TRUE
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,the best,Positive,FALSE
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,The duck confit,always amazing,Positive,TRUE
1014458:3,The wine list is interesting and has many good values.,,The wine list,interesting,Positive,TRUE
1014458:3,The wine list is interesting and has many good values.,,,has,Positive,FALSE
1014458:4,"For the price, you cannot eat this well in Manhattan.",,,well in Manhattan.,Positive,FALSE
1016296:0,I was very disappointed with this restaurant.,I,I,very disappointed,Negative,FALSE
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,,,FALSE
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,,,,FALSE
1016296:3,"Food was okay, nothing great.",,Food,"okay, nothing great.",Positive,TRUE
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,,,,,FALSE
1016296:5,I/we will never go back to this place again.,,,never go back,Negative,FALSE
1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",,it,great!,Positive,FALSE
1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,the price,be beat!!!,Negative,FALSE
1028246:2,You can't go wrong here.,,,,,FALSE
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,,,,,FALSE
